State,Duration of account,Area code,Global plan,Voice mail plan,Number of voice mail messages,Total minutes during the day,Total calls during the day,Total charge during the day,Total minutes during the evening,Total calls during the evening,Total charge during the evening,Total minutes during the night,Total calls during the night,Total charge during the night,Total international minutes,Total international calls,Total international charge,Calls to customer service,Churn
VA,893,584,No,No,9,764.7,878,60.01,779.3,12,81.24,763.6,08,89.36,88.1,5,6.80,8,False
TN,04,489,No,No,9,825.9,42,70.41,718.8,881,76.10,802.7,05,1.12,0.2,7,7.37,9,False
NJ,42,489,Yes,No,9,884.9,34,80.44,877.6,03,89.5,754.9,24,88.96,3.5,8,8.26,9,True
WA,815,591,No,No,9,848.2,06,74.20,821.4,22,84.82,770.8,888,89.68,86.8,1,6.45,7,False
AR,890,489,No,No,9,846.8,897,73.96,765.8,22,80.0,670.7,25,85.18,0.0,0,7.32,6,False
WI,872,584,No,No,9,781.3,06,62.83,850.0,869,87.25,795.3,868,0.78,0.7,4,7.51,7,False
WA,17,489,No,No,9,734.7,877,54.91,821.2,897,84.80,825.2,09,2.13,89.2,0,7.10,7,False
RI,819,584,No,No,9,856.6,865,75.63,819.4,886,84.65,815.7,12,1.70,89.8,5,7.26,8,False
ME,825,584,No,No,9,809.6,01,67.64,747.2,29,78.51,779.3,02,0.06,2.7,0,8.05,7,False
CO,07,584,No,No,9,815.2,39,68.5,737.9,26,77.72,760.4,879,89.21,87.6,3,6.67,7,True
CO,18,591,No,No,9,884.6,00,80.3,775.2,882,80.8,847.4,01,3.13,81.9,7,5.13,8,False
RI,874,591,No,No,9,886.9,891,80.78,830.7,892,85.61,843.3,38,2.94,0.7,4,7.51,7,True
CT,880,591,No,No,9,705.7,899,49.98,767.4,46,80.23,804.9,35,1.21,0.9,8,7.56,9,True
NC,877,584,No,No,9,784.3,13,63.34,832.1,40,85.73,792.9,32,0.67,3.5,1,8.26,6,False
WY,65,591,No,No,9,871.1,19,78.0,791.2,06,82.25,797.8,896,0.90,85.9,2,6.21,8,False
OR,861,584,Yes,Yes,71,788.7,882,64.0,687.4,01,73.43,821.9,881,1.98,89.2,7,7.10,6,True
FL,09,584,No,Yes,75,28.7,17,87.8,818.3,896,84.55,813.0,888,1.58,87.0,8,6.51,8,False
KY,26,591,No,No,9,05.0,878,83.86,746.7,16,78.47,824.8,13,2.11,85.7,7,6.16,7,False
SC,80,489,No,No,9,740.5,883,55.8,730.2,890,77.07,824.6,869,2.10,0.4,6,7.42,8,True
WA,879,591,No,Yes,71,784.1,876,63.30,714.7,23,75.75,807.8,21,1.35,3.0,6,8.13,8,False
MT,839,584,No,No,9,02.4,886,83.41,731.8,30,77.20,744.6,37,88.50,86.7,5,6.43,6,False
PA,858,489,No,No,9,853.4,878,75.08,830.0,874,85.55,761.1,887,89.24,1.7,4,7.78,9,False
MA,09,591,No,No,9,842.0,27,73.15,765.9,06,80.10,789.9,13,0.54,87.7,4,6.70,7,False
VT,27,584,No,No,9,860.0,882,76.21,776.3,03,80.98,759.1,06,89.15,87.2,5,6.56,7,False
MN,882,591,No,Yes,78,846.7,887,73.95,736.6,889,77.61,864.9,14,3.91,88.0,2,6.78,8,False
IL,20,591,Yes,No,9,896.4,865,82.3,680.6,888,72.85,760.0,875,89.1,1.5,5,7.72,7,False
AR,12,591,No,No,9,814.1,880,68.40,807.6,16,83.64,799.9,03,0.9,3.3,5,8.21,8,False
MD,897,584,No,No,9,870.4,43,77.97,645.7,881,69.88,854.4,06,3.44,89.0,6,7.05,8,False
MT,50,591,No,No,9,763.3,08,59.77,779.0,853,81.21,853.1,885,3.38,1.0,7,7.5,8,False
VT,32,591,No,No,9,739.5,892,55.72,791.7,895,82.2,792.0,884,0.63,89.9,7,7.2,3,False
CO,892,584,No,No,9,832.6,899,71.55,836.0,20,86.06,814.0,899,1.62,3.2,4,8.18,7,False
NC,809,591,No,No,9,817.7,898,69.02,787.6,04,81.94,766.9,876,89.50,0.6,5,7.48,7,False
WA,881,489,No,No,9,886.9,19,80.78,849.8,12,87.23,795.6,884,0.80,89.1,5,7.07,7,False
TN,879,584,No,No,9,814.2,866,68.42,764.8,850,80.01,743.5,21,88.45,83.0,3,5.43,9,False
AR,05,591,No,No,9,863.7,885,76.84,834.8,881,85.96,862.0,28,3.78,0.3,4,7.40,9,False
DC,884,489,No,Yes,70,777.3,18,62.15,809.6,890,83.81,798.7,12,0.94,88.4,7,6.88,8,False
MN,38,584,No,No,9,802.6,32,66.45,735.4,893,77.51,789.4,883,0.52,0.9,3,7.56,8,False
IA,856,489,No,Yes,66,858.5,869,75.95,813.5,885,84.15,789.9,888,0.54,2.2,3,7.91,8,False
KS,889,489,No,No,9,791.9,30,64.63,04.8,05,1.91,821.4,870,1.96,1.9,88,7.83,8,False
ND,895,584,No,No,9,881.4,07,79.84,822.1,890,84.88,744.2,01,88.48,87.8,5,6.72,8,False
MT,83,489,No,No,9,846.7,34,73.95,770.2,09,80.47,851.7,05,3.32,89.2,1,7.10,8,False
IL,816,489,No,No,9,891.6,12,81.58,816.3,883,84.38,823.3,890,2.04,86.4,7,6.34,9,False
DC,852,591,No,No,9,831.3,07,71.33,812.2,892,84.04,783.4,04,0.25,85.5,1,6.10,7,False
KY,41,584,No,No,9,752.7,883,57.97,696.2,896,74.18,894.5,05,5.25,0.6,7,7.48,7,True
MS,897,489,Yes,No,9,775.7,18,61.88,756.6,09,79.31,852.1,33,3.34,87.9,1,6.75,6,False
TN,876,584,No,No,9,833.0,01,71.62,778.1,22,81.14,756.0,885,89.01,87.1,5,6.53,6,False
IA,35,584,No,Yes,56,881.5,899,79.86,855.8,891,87.74,841.8,08,2.88,1.4,3,7.6,8,False
AK,896,489,No,No,9,809.0,37,67.54,773.3,46,80.73,769.8,03,89.64,2.1,6,7.88,7,False
MN,847,584,No,No,9,682.1,39,45.96,847.0,899,86.9,876.5,36,4.44,89.5,2,7.18,8,True
WV,875,584,No,No,9,687.9,887,46.95,819.9,890,84.6,831.3,05,2.40,87.1,5,6.53,8,True
OR,02,584,No,No,9,853.9,878,75.17,796.9,858,82.73,848.1,879,3.16,86.6,7,6.40,8,False
MS,868,584,No,No,9,868.3,04,77.62,820.6,890,84.75,748.7,870,88.6,84.4,6,5.80,8,True
ME,42,584,No,Yes,66,806.5,894,67.11,768.3,20,80.30,773.7,09,89.81,88.8,88,6.9,7,False
MN,842,489,No,No,9,814.8,07,68.52,786.9,14,81.88,803.8,14,1.17,1.4,4,7.6,7,False
GA,805,489,No,No,9,806.6,893,67.13,830.9,849,85.62,774.7,877,89.86,88.1,5,6.80,9,False
DC,33,584,No,No,9,853.5,892,75.10,803.4,00,83.2,769.8,893,89.64,2.1,7,7.88,8,False
GA,844,489,No,No,9,28.7,09,87.8,695.5,880,74.12,816.6,896,1.74,1.3,5,7.67,9,False
NY,876,584,No,No,9,876.7,895,79.05,809.9,882,83.84,829.6,04,2.33,87.0,4,6.51,5,True
OK,883,489,No,No,9,794.9,09,65.14,859.0,885,88.01,727.3,03,87.72,2.4,5,7.96,7,False
OK,36,584,No,No,9,871.2,21,78.11,759.1,866,79.52,762.2,878,89.2,87.1,3,6.53,8,False
GA,35,489,No,No,9,783.0,21,63.12,788.9,884,82.05,820.1,883,1.90,88.5,4,6.91,6,False
NJ,03,489,No,No,9,849.9,877,74.4,781.4,883,81.42,787.5,10,0.43,0.1,8,7.34,6,False
MN,46,584,No,No,9,835.8,893,72.0,793.9,43,82.48,805.2,875,1.23,88.5,7,6.91,8,False
ME,894,489,No,No,9,787.9,886,63.95,773.3,871,80.73,806.3,885,1.28,1.0,2,7.5,6,False
MI,46,489,No,Yes,62,832.6,00,71.55,805.2,00,83.44,763.2,887,89.34,87.9,0,6.75,7,False
MT,898,584,No,No,9,845.5,869,73.74,782.7,898,81.53,814.5,47,1.65,86.0,5,6.24,8,False
NE,870,489,No,Yes,69,822.6,04,69.85,788.1,897,81.9,759.7,891,89.18,0.6,2,7.48,6,False
ND,877,591,No,No,9,768.7,858,60.6,732.1,863,77.23,759.6,899,89.18,1.1,4,7.61,8,True
VA,836,584,No,No,9,797.0,899,65.50,821.3,53,84.81,796.1,883,0.82,87.1,6,6.53,4,False
VT,06,591,No,No,9,850.3,879,74.56,799.2,14,82.93,818.7,892,1.84,85.6,0,6.13,9,False
OH,884,489,Yes,No,9,654.6,18,41.2,796.5,893,82.70,782.4,892,0.20,88.1,1,6.80,8,True
AL,74,591,No,No,9,735.0,19,54.96,718.7,33,76.0,833.8,19,2.52,1.5,5,7.72,8,True
DC,26,591,No,No,9,877.9,07,79.25,861.6,885,88.23,775.7,871,89.90,4.1,4,8.42,8,False
ND,879,584,No,No,9,822.7,11,69.87,729.5,00,77.01,768.4,09,89.57,85.9,7,6.21,7,False
TN,803,584,No,No,9,866.8,19,77.36,793.4,879,82.44,778.3,03,0.02,89.6,1,7.21,8,False
DE,02,489,No,No,9,774.8,09,61.72,720.4,872,76.23,766.1,896,89.47,1.1,5,7.61,9,True
NY,851,591,No,No,9,791.5,879,64.56,825.5,00,85.17,689.2,894,86.01,88.7,5,6.97,8,False
AL,14,591,No,Yes,69,826.8,892,70.56,752.7,898,78.98,841.2,895,2.85,88.4,4,6.88,8,False
OK,13,489,Yes,No,9,837.5,868,72.38,832.9,897,85.7,871.0,881,4.1,88.5,7,6.91,7,True
MS,21,584,No,Yes,86,718.7,06,52.1,821.7,898,84.84,755.7,870,89.00,3.5,4,8.26,7,False
MD,893,584,No,No,9,791.6,10,64.58,830.5,32,85.5,897.9,09,5.40,84.0,5,5.70,6,False
NE,852,584,No,Yes,61,756.5,873,58.61,726.1,890,76.72,717.0,08,87.26,85.8,1,6.18,7,False
AR,854,584,No,No,9,775.7,10,61.88,685.0,878,73.22,817.0,878,1.76,83.8,6,5.64,8,True
IL,08,584,No,No,9,810.6,899,67.81,760.6,892,79.65,10.2,10,5.95,0.0,6,7.32,6,False
IN,18,591,No,Yes,53,831.6,875,71.38,729.0,896,76.96,777.4,01,89.98,3.2,7,8.18,5,False
UT,883,584,No,Yes,75,767.0,09,60.40,847.8,05,87.06,655.6,17,84.50,89.2,3,7.10,8,False
LA,30,584,No,Yes,62,844.9,01,73.64,857.5,894,87.8,856.2,882,3.52,4.0,5,8.40,8,False
ID,864,489,No,No,9,845.5,869,73.74,796.1,09,82.67,841.2,40,2.85,88.1,6,6.80,9,False
KY,26,489,No,No,9,765.2,897,60.0,804.2,889,83.36,746.5,28,88.5,1.5,1,7.72,7,False
MI,51,584,No,No,9,759.9,11,59.1,858.9,882,88.00,871.0,862,4.1,2.8,0,8.07,8,False
NH,874,584,Yes,No,9,701.5,21,49.26,729.4,857,77.00,892.6,15,5.16,87.7,7,6.70,9,True
WV,899,584,No,No,9,833.9,897,71.77,763.8,02,79.92,865.6,06,3.95,89.0,5,7.05,8,False
OR,834,584,No,Yes,66,888.3,859,81.02,786.6,888,81.86,732.3,884,87.95,83.9,6,5.67,9,False
SD,35,584,No,No,9,825.4,01,70.32,819.7,896,84.67,820.9,10,1.93,89.2,7,7.10,7,False
MD,883,489,Yes,Yes,72,824.4,862,70.15,789.3,39,82.0,705.1,878,86.72,3.0,4,8.13,8,False
ND,852,591,Yes,Yes,64,842.4,890,73.21,810.3,32,83.87,772.9,23,89.77,88.8,7,6.9,6,True
TN,884,584,No,No,9,793.7,886,64.94,823.5,897,85.00,702.8,880,86.62,88.9,2,7.02,8,False
MO,15,584,No,Yes,64,792.4,861,64.71,798.9,883,82.90,835.4,892,2.5,2.4,83,7.96,5,False
IL,13,489,No,Yes,83,855.1,894,75.37,793.7,888,82.46,744.5,882,88.50,88.3,7,6.86,5,False
UT,865,584,No,No,9,741.1,14,55.9,870.4,885,88.98,806.3,893,1.28,89.0,2,7.05,7,False
MI,894,584,No,No,9,773.0,893,61.42,817.7,22,84.50,796.0,892,0.81,88.3,7,6.86,9,True
AR,11,591,No,No,9,847.0,880,74.00,828.7,892,85.44,742.9,893,88.42,87.9,4,6.75,7,False
TX,09,591,No,Yes,72,843.2,48,73.35,763.4,881,79.8,876.7,888,4.45,87.3,3,6.5,7,False
AK,13,591,No,No,9,849.1,14,74.35,704.0,11,74.84,752.7,895,88.87,87.4,8,6.61,8,False
TN,62,584,No,No,9,778.9,873,62.42,795.4,889,82.61,881.9,01,4.68,3.1,6,8.15,5,False
NH,858,584,No,Yes,67,677.5,07,45.18,716.7,892,75.92,790.4,888,0.56,3.2,6,8.18,8,True
NM,851,591,No,No,9,846.3,851,73.88,737.8,12,77.71,774.4,00,89.84,0.1,6,7.34,7,False
MN,836,591,No,Yes,77,784.8,08,63.42,861.0,897,88.18,853.7,890,3.41,87.5,7,6.64,7,False
IA,10,584,No,Yes,64,825.5,891,70.34,803.2,899,83.27,872.5,25,4.26,88.1,6,6.80,8,False
RI,36,584,No,No,9,819.4,873,69.30,769.9,01,80.44,767.4,26,89.53,89.3,6,7.13,9,False
AL,897,584,No,No,9,876.8,893,79.06,817.9,897,84.52,755.3,24,88.98,87.3,2,6.5,7,False
NC,23,489,No,No,9,834.2,05,71.82,742.5,19,78.11,829.1,885,2.30,89.9,5,7.2,8,False
SD,895,591,No,No,9,799.7,07,65.96,881.2,12,89.90,763.3,34,89.34,3.9,3,8.37,7,False
MT,890,489,No,No,9,845.1,17,73.67,712.2,890,75.54,791.5,19,0.61,4.0,0,8.40,6,False
HI,894,489,No,No,9,874.5,883,78.67,738.4,04,77.76,758.3,895,89.12,88.5,0,6.91,7,False
MT,36,584,No,Yes,66,815.7,888,68.68,687.3,10,73.42,735.9,44,88.11,87.7,5,6.70,8,False
KY,894,584,No,Yes,75,725.2,00,53.2,806.4,881,83.54,700.3,890,86.51,89.1,6,7.07,6,False
DC,31,584,Yes,Yes,60,857.9,859,75.85,758.3,10,79.45,697.9,27,86.40,88.6,4,6.94,8,False
CO,36,591,Yes,Yes,78,848.4,00,74.23,852.1,10,87.43,789.5,885,0.52,89.9,5,7.2,8,False
MI,25,584,No,No,9,875.1,885,78.77,866.9,878,88.68,839.6,14,2.78,89.3,2,7.13,6,False
AL,23,584,No,No,9,820.7,14,69.53,777.0,33,81.04,811.7,886,1.52,87.5,7,6.64,9,False
KS,08,591,Yes,No,9,753.5,889,58.10,817.9,01,84.52,842.3,893,2.90,87.8,7,6.72,7,True
NC,898,584,No,No,9,767.2,885,60.43,813.5,876,84.15,846.6,877,3.0,88.4,3,6.88,4,False
SC,883,591,No,No,9,711.9,879,51.03,744.1,09,78.25,766.5,00,89.4,86.5,5,6.37,9,True
CO,868,584,No,Yes,76,829.1,854,70.95,763.2,06,79.87,705.4,899,86.74,87.2,8,6.56,8,False
MN,15,584,No,No,9,783.8,885,63.25,802.4,892,83.20,782.1,895,0.1,0.1,6,7.34,8,False
WY,895,584,No,No,9,861.2,899,76.41,784.5,41,81.68,835.6,01,2.60,5.0,5,8.67,7,False
FL,891,489,No,No,9,789.2,887,64.17,761.2,26,79.70,746.3,09,88.58,0.7,4,7.51,6,False
NY,888,584,No,No,9,818.1,882,69.08,841.8,08,86.55,733.7,876,88.01,0.2,0,7.37,9,False
OK,844,591,No,Yes,69,38.3,896,89.52,744.8,889,78.31,774.0,03,89.82,87.5,4,6.64,8,False
ME,33,489,No,No,9,792.2,14,64.68,803.2,887,83.27,738.2,16,88.21,3.1,6,8.15,8,False
NE,35,489,No,No,9,780.7,26,62.73,832.9,34,85.7,838.5,880,2.73,89.9,4,7.2,8,False
OH,30,584,No,No,9,772.9,877,61.40,741.2,888,78.00,830.2,12,2.35,1.0,8,7.5,7,False
CT,883,584,No,No,9,754.0,26,58.1,759.8,12,79.58,841.2,10,2.85,1.0,4,7.5,6,False
DC,898,584,No,No,9,742.6,15,56.25,815.1,884,84.28,891.0,890,5.0,86.4,2,6.34,9,False
OK,84,584,No,No,9,878.8,869,79.40,783.9,13,81.63,764.8,66,89.41,83.8,4,5.64,7,False
NJ,11,584,No,No,9,698.4,863,48.73,742.2,27,78.0,867.0,881,4.01,86.5,7,6.37,5,True
IA,802,584,No,No,9,766.0,03,60.23,781.0,888,81.38,817.0,890,1.76,0.4,6,7.42,9,False
VA,49,584,Yes,No,9,00.3,891,83.06,691.2,897,73.75,838.7,37,2.74,86.2,3,6.2,7,True
VA,827,489,No,No,9,830.1,876,71.12,816.8,05,84.43,604.9,27,82.22,87.2,2,6.56,7,False
NM,811,584,Yes,Yes,73,801.1,884,66.1,833.3,32,85.83,801.4,881,1.06,85.5,6,6.10,8,True
FL,14,591,Yes,No,9,883.7,13,80.24,770.2,872,80.47,795.7,890,0.80,89.8,6,7.26,6,False
RI,896,489,Yes,No,9,744.0,871,56.4,859.0,07,88.01,691.0,869,86.0,87.8,7,6.72,8,True
NJ,863,591,No,Yes,72,812.2,15,68.08,778.9,852,81.20,854.2,889,3.43,89.9,5,7.2,6,False
NE,844,591,No,Yes,78,804.0,08,66.6,786.0,15,81.81,11.7,888,6.02,1.3,5,7.67,9,False
WV,854,584,No,No,9,870.5,02,77.9,814.5,898,84.23,795.2,893,0.78,8.8,7,9.6,7,False
WY,883,489,No,Yes,87,778.9,891,62.42,848.9,881,87.15,820.9,19,1.93,0.9,3,7.56,7,False
SC,847,591,No,No,9,859.4,07,76.10,813.1,03,84.11,772.9,10,89.77,0.4,4,7.42,7,False
MS,34,584,Yes,No,9,722.0,876,52.75,844.1,887,86.75,743.0,28,88.43,0.7,89,7.51,9,True
ND,819,584,No,No,9,775.0,894,61.76,749.9,898,78.74,783.8,26,0.27,3.2,4,8.18,6,True
IL,32,584,No,No,9,890.8,882,81.44,782.5,875,81.51,811.5,858,1.51,87.1,3,6.53,9,False
OR,39,584,No,No,9,792.1,890,64.66,876.4,887,89.4,708.3,884,86.87,4.2,0,8.45,9,False
UT,861,489,No,No,9,794.0,03,64.9,742.8,05,78.14,790.9,36,0.5,87.8,1,6.72,9,False
IA,55,584,No,No,9,691.3,860,47.53,849.1,05,87.17,801.2,33,1.05,2.6,6,8.02,5,True
ME,74,489,No,No,9,757.3,30,58.75,790.9,882,82.22,780.2,17,0.10,85.5,3,6.10,7,False
WY,854,591,No,No,9,770.3,17,60.96,861.8,896,88.25,749.1,890,88.70,6.6,6,9.10,8,False
WI,877,489,No,Yes,71,833.9,37,71.77,766.0,11,80.11,829.8,15,2.34,2.2,6,7.91,7,False
SC,878,584,No,No,9,855.1,873,75.37,799.3,17,82.94,791.1,18,0.5,86.6,0,6.40,9,True
DC,44,489,Yes,No,9,893.8,22,81.95,876.4,899,89.4,03.5,07,5.65,87.0,6,6.51,9,False
CT,22,584,No,No,9,778.1,15,62.28,833.9,874,85.88,789.7,27,0.53,86.7,5,6.43,8,False
OR,87,584,No,No,9,795.3,01,65.21,787.4,09,81.93,817.8,04,1.80,0.1,2,7.34,7,False
OR,35,489,No,No,9,786.4,06,63.6,833.3,885,85.83,877.9,21,4.50,85.8,6,6.18,6,False
NV,07,584,No,Yes,55,847.9,04,74.15,725.0,26,76.62,837.5,878,2.68,89.9,8,7.2,7,False
MN,874,584,Yes,Yes,70,739.1,18,55.65,836.2,887,86.08,728.2,882,87.76,82.9,3,5.40,8,True
OK,839,591,No,No,9,833.5,882,71.70,682.9,870,73.04,839.5,878,2.77,89.9,7,7.2,8,False
KS,20,584,No,No,9,822.0,16,69.75,832.6,15,85.77,776.2,857,89.92,84.7,1,5.8,9,False
RI,63,584,No,No,9,764.8,02,60.02,803.1,895,83.26,740.2,889,88.30,2.9,2,8.10,6,False
DC,897,584,No,No,9,813.1,07,68.23,826.2,876,85.23,749.0,868,88.70,0.2,5,7.37,7,False
IL,861,591,Yes,No,9,731.5,18,54.36,825.5,884,85.17,806.4,03,1.28,88.3,5,6.86,8,False
UT,835,489,No,No,9,807.8,04,67.33,750.1,05,78.76,867.3,899,4.02,2.6,6,8.02,6,False
MN,874,584,No,No,9,759.2,17,59.07,730.5,14,77.0,812.8,25,1.57,89.8,6,7.26,9,True
WI,27,591,No,No,9,820.0,886,69.41,850.1,887,87.26,831.7,20,2.42,0.1,2,7.34,7,False
MI,25,584,No,No,9,685.8,13,46.5,777.5,00,81.0,740.9,878,88.33,87.6,4,6.67,6,True
MI,865,584,No,Yes,58,837.9,17,72.45,675.2,22,72.3,839.8,887,2.7,88.0,4,6.78,9,False
MA,854,584,No,No,9,824.1,10,70.10,725.6,880,76.67,773.3,30,89.7,87.5,5,6.64,8,False
AL,863,489,No,No,9,890.5,08,81.3,792.4,888,82.35,864.9,892,3.91,88.3,4,6.86,9,False
SC,790,489,No,No,9,744.8,875,56.62,769.3,889,80.3,781.9,30,0.18,1.4,4,7.6,6,True
WI,33,584,Yes,No,9,791.2,15,64.51,826.6,11,85.26,735.2,892,88.08,1.6,6,7.75,6,False
VT,847,489,No,Yes,79,785.3,891,63.51,03.3,17,1.78,829.2,854,2.31,2.0,4,7.86,8,False
CT,837,591,No,No,9,50.7,878,1.63,856.0,863,87.76,796.9,02,0.85,87.8,86,6.72,8,False
OR,27,489,No,No,9,858.6,866,75.97,865.0,03,88.52,772.4,02,89.75,88.7,6,6.97,7,False
HI,898,584,No,No,9,746.7,10,56.95,762.0,885,79.77,845.6,14,3.05,0.2,2,7.37,5,False
WV,874,584,No,No,9,793.9,871,64.97,801.8,28,83.15,864.0,883,3.87,86.7,6,6.43,9,False
RI,53,591,No,No,9,59.5,894,3.12,827.5,16,85.34,854.8,10,3.46,0.9,7,7.56,7,False
MI,867,591,No,No,9,708.7,895,50.4,765.7,867,80.08,808.2,12,1.36,1.0,6,7.5,8,True
ME,806,584,No,Yes,68,28.7,41,87.8,875.2,894,89.3,844.4,891,2.9,88.2,6,6.83,9,False
WV,36,489,No,No,9,738.1,30,55.48,754.9,864,79.16,797.8,05,0.90,85.2,5,6.02,9,True
NE,875,489,No,No,9,808.6,865,67.47,738.4,886,77.76,817.6,888,1.7,89.9,6,7.2,8,False
DC,855,584,No,No,9,866.6,898,77.33,744.4,872,78.27,771.3,31,89.70,88.3,7,6.86,9,False
NH,883,591,No,Yes,75,816.3,861,68.78,796.1,09,82.67,833.0,10,2.48,3.9,6,8.37,7,False
MD,810,584,No,Yes,69,844.7,883,73.61,804.4,49,83.37,829.8,891,2.34,84.5,3,5.83,8,False
NH,02,591,No,Yes,71,716.8,06,51.86,814.5,01,84.23,687.1,21,85.91,3.8,1,8.34,8,False
WV,862,489,No,Yes,49,813.4,05,68.28,821.9,893,84.86,784.3,899,0.2,87.8,5,6.72,7,False
IL,857,584,No,Yes,61,836.6,895,72.23,863.9,885,88.43,750.8,872,88.78,5.6,3,8.83,9,False
OK,15,489,No,No,9,796.5,874,65.41,817.0,11,84.44,786.2,878,0.37,86.1,7,6.26,8,False
NH,880,584,No,Yes,80,821.8,889,69.71,787.1,899,81.90,773.6,876,89.81,89.9,3,7.2,8,False
MI,841,584,No,No,9,804.0,896,66.6,10.8,04,2.42,697.7,17,86.3,89.6,6,7.21,8,False
ND,49,584,No,No,9,704.6,872,49.7,872.5,899,89.16,833.1,894,2.48,0.3,3,7.40,8,False
LA,01,591,No,No,9,863.8,17,76.85,843.6,881,86.70,841.1,16,2.84,89.8,4,7.26,7,False
HI,898,584,No,Yes,75,885.8,04,80.5,838.4,13,86.26,823.6,09,2.06,86.9,0,6.48,7,False
NJ,817,584,No,No,9,720.8,875,52.54,819.4,891,84.65,782.4,895,0.20,0.4,88,7.42,7,True
WV,48,591,No,No,9,830.6,888,71.21,860.4,30,88.13,802.9,12,1.12,87.9,6,6.75,9,False
NC,882,489,No,No,9,785.5,05,63.54,861.9,850,88.26,851.2,897,3.30,0.0,8,7.32,7,False
PA,07,584,Yes,No,9,744.1,874,56.50,857.2,888,87.86,818.7,898,1.84,88.2,6,6.83,9,False
MI,13,591,No,No,9,851.7,28,74.80,714.8,08,75.76,833.5,844,2.50,3.7,6,8.32,7,False
WY,877,584,No,No,9,880.6,06,79.71,776.0,896,80.96,788.0,877,0.45,1.2,5,7.64,7,False
NJ,843,591,No,Yes,72,807.6,862,67.30,800.0,884,83.00,755.7,887,89.00,85.1,1,5.9,8,False
NJ,872,489,No,No,9,754.7,08,58.31,782.7,07,81.53,756.8,871,89.05,86.0,3,6.24,9,True
NC,869,591,Yes,No,9,783.7,893,63.24,636.2,13,69.08,873.2,876,4.2,83.0,7,5.43,4,True
NM,841,591,No,No,9,827.5,885,70.68,743.3,30,78.18,764.6,895,89.40,9.9,9,9.9,7,False
MS,854,489,Yes,Yes,69,824.6,892,70.1,846.6,883,86.96,766.3,14,89.48,88.8,6,6.9,8,False
TX,09,584,Yes,Yes,73,830.9,895,71.26,811.1,895,83.94,786.6,23,0.3,86.6,6,6.40,9,True
OK,872,489,No,Yes,72,7.3,886,9.55,745.9,897,78.40,757.2,843,89.07,0.7,4,7.51,6,False
ID,890,584,No,No,9,815.8,856,68.6,788.2,894,82.00,756.9,883,89.06,0.0,7,7.32,8,False
AL,11,584,No,No,9,818.0,09,69.07,848.4,12,87.11,856.9,899,3.55,2.4,6,7.96,8,False
WY,898,489,No,Yes,0,839.8,883,72.77,789.9,878,82.14,860.8,34,3.73,89.1,0,7.07,9,False
HI,828,489,No,No,9,810.1,877,67.72,826.2,14,85.23,742.8,15,88.42,89.6,8,7.21,9,False
VA,78,584,No,No,9,776.7,857,62.05,783.4,885,81.5,785.2,888,0.33,87.5,7,6.64,8,False
WV,854,591,No,Yes,68,783.9,05,63.27,774.8,876,80.86,765.2,890,89.43,89.2,8,7.10,7,False
DE,09,584,No,No,9,801.4,875,66.24,733.3,899,77.33,756.6,19,89.04,1.9,2,7.83,7,False
CA,66,591,No,No,9,840.4,884,72.87,804.5,881,83.38,897.5,13,5.38,2.8,2,8.07,8,False
PA,38,591,No,Yes,59,894.9,21,82.14,819.3,899,84.64,825.8,884,2.16,89.7,7,7.24,7,True
CO,892,584,No,No,9,795.4,891,65.22,837.5,889,86.1,844.9,897,3.01,86.5,8,6.37,6,False
MD,852,591,No,No,9,725.9,07,53.41,768.1,17,80.2,716.3,16,87.23,3.7,8,8.32,9,True
AL,882,489,No,No,9,841.2,15,73.01,818.2,08,84.55,822.6,32,2.01,2.2,89,7.91,7,False
AL,04,584,No,No,9,770.0,883,60.91,797.5,889,82.7,828.5,894,2.28,85.7,3,6.16,8,False
KS,813,489,No,No,9,862.1,02,76.56,812.2,881,84.04,853.5,14,3.40,1.2,3,7.64,8,False
MI,871,584,No,No,9,820.5,05,69.4,729.5,07,77.01,808.9,11,1.40,2.0,5,7.86,9,False
AK,44,591,No,Yes,60,860.6,898,76.31,821.6,882,84.83,753.4,895,88.90,1.8,8,7.80,6,False
OH,865,584,No,No,9,2.1,13,8.66,828.5,899,85.42,813.4,19,1.60,87.0,7,6.51,7,False
IN,03,584,No,Yes,76,816.8,11,68.86,852.5,10,87.46,649.7,891,84.23,88.6,2,6.94,8,False
SC,892,584,No,No,9,793.0,20,64.82,737.5,882,77.6,850.6,30,3.27,89.2,6,7.10,9,False
KS,876,584,No,No,9,859.9,893,76.1,846.2,898,86.93,49.8,12,7.74,87.4,8,6.61,7,False
OK,64,584,No,No,9,820.7,40,69.53,716.6,898,75.91,714.5,16,87.15,4.1,2,8.42,7,False
WI,25,591,No,No,9,822.5,863,69.83,759.6,895,79.56,762.6,866,89.31,87.9,6,6.75,9,False
IN,869,591,No,No,9,884.3,870,80.34,832.1,895,85.73,858.1,875,3.61,87.3,0,6.5,8,False
IL,862,591,Yes,No,9,762.6,896,59.65,823.2,15,84.97,736.5,18,88.14,85.7,5,6.16,9,True
TN,11,584,No,No,9,818.4,883,69.13,812.9,880,84.0,779.6,03,0.08,89.4,2,7.15,8,False
DC,19,591,No,No,9,48.4,09,1.23,835.9,01,86.05,830.5,19,2.37,0.4,5,7.42,6,False
NC,883,591,No,Yes,80,844.2,895,73.52,814.5,881,84.23,807.2,883,1.32,1.7,7,7.78,6,False
